"Liquidacion","Tipo_Liquidacion","Especie","Recibo"
"81553","","CDTBBO90VD","1482706"
"81553","","CDTBBO90VD","1482706"
"81553","","CDTBBO90VD","1482706"
"81553","","CDTBBO90VD","1482706"
"81553","","CDTBBO90VD","1482706"
"81553","","CDTBBO90VD","1482706"
"81553","","CDTBBO90VD","1482705"
"81553","","CDTBBO90VD","1482705"
"81553","","CDTBBO90VD","1482705"
"81553","","CDTBBO90VD","1482705"
"81553","","CDTBBO90VD","1482705"
"81553","","CDTBBO90VD","1482705"
"81553","","CDTBBO90VD","1482705"
"81553","","CDTBBO90VD","1482705"
"81553","","CDTBBO90VD","1482705"
"81553","","CDTBBO90VD","1482705"
